,Name,NetWorth,Country,Source,Rank,Age,Industry
0,Jeff Bezos,$177 B,United States,Amazon,1,57.0,Technology
1,Elon Musk,$151 B,United States,"Tesla, SpaceX",2,49.0,Automotive
2,Bernard Arnault & family,$150 B,France,LVMH,3,72.0,Fashion & Retail
3,Bill Gates,$124 B,United States,Microsoft,4,65.0,Technology
4,Mark Zuckerberg,$97 B,United States,Facebook,5,36.0,Technology
5,Warren Buffett,$96 B,United States,Berkshire Hathaway,6,90.0,Finance & Investments
6,Larry Ellison,$93 B,United States,software,7,76.0,Technology
7,Larry Page,$91.5 B,United States,Google,8,48.0,Technology
8,Sergey Brin,$89 B,United States,Google,9,47.0,Technology
9,Mukesh Ambani,$84.5 B,India,diversified,10,63.0,Diversified
10,Amancio Ortega,$77 B,Spain,Zara,11,85.0,Fashion & Retail
11,Francoise Bettencourt Meyers & family,$73.6 B,France,L'Oréal,12,67.0,Fashion & Retail
12,Zhong Shanshan,$68.9 B,China,"beverages, pharmaceuticals",13,66.0,Food & Beverage
13,Steve Ballmer,$68.7 B,United States,Microsoft,14,65.0,Technology
14,Ma Huateng,$65.8 B,China,internet media,15,49.0,Technology
15,Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81.0,Telecom
16,Alice Walton,$61.8 B,United States,Walmart,17,71.0,Fashion & Retail
17,Jim Walton,$60.2 B,United States,Walmart,18,72.0,Fashion & Retail
18,Rob Walton,$59.5 B,United States,Walmart,19,76.0,Fashion & Retail
19,Michael Bloomberg,$59 B,United States,Bloomberg LP,20,79.0,Media & Entertainment
20,Colin Zheng Huang,$55.3 B,China,e-commerce,21,41.0,Technology
21,MacKenzie Scott,$53 B,United States,Amazon,22,50.0,Technology
22,Daniel Gilbert,$51.9 B,United States,Quicken Loans,23,59.0,Finance & Investments
23,Gautam Adani & family,$50.5 B,India,"infrastructure, commodities",24,58.0,Diversified
24,Phil Knight & family,$49.9 B,United States,Nike,25,83.0,Fashion & Retail
25,Jack Ma,$48.4 B,China,e-commerce,26,56.0,Technology
26,Charles Koch,$46.4 B,United States,Koch Industries,27,85.0,Diversified
